docname,topic,proportion
minidata.txt:1,007,1.0
minidata.txt:36,001,1.0
minidata.txt:71,001,1.0
minidata.txt:106,001,1.0
minidata.txt:141,002,1.0
minidata.txt:159,001,1.0
minidata.txt:194,004,1.0
minidata.txt:229,002,1.0
minidata.txt:264,000,1.0
minidata.txt:20,002,1.0
minidata.txt:55,008,1.0
minidata.txt:90,002,1.0
minidata.txt:125,001,1.0
minidata.txt:143,001,1.0
minidata.txt:178,001,1.0
minidata.txt:213,002,1.0
minidata.txt:248,000,1.0
minidata.txt:283,003,1.0
minidata.txt:34,003,1.0
minidata.txt:69,001,1.0
minidata.txt:104,002,1.0
minidata.txt:139,002,1.0
minidata.txt:157,001,1.0
minidata.txt:192,004,1.0
minidata.txt:227,005,1.0
minidata.txt:262,005,1.0
minidata.txt:297,000,1.0
minidata.txt:14,003,1.0
minidata.txt:49,006,1.0
minidata.txt:84,001,1.0
minidata.txt:119,001,1.0
minidata.txt:172,006,1.0
minidata.txt:207,002,1.0
minidata.txt:242,005,1.0
minidata.txt:277,005,1.0
minidata.txt:15,001,1.0
minidata.txt:50,001,1.0
minidata.txt:85,008,1.0
minidata.txt:120,004,1.0
minidata.txt:173,001,1.0
minidata.txt:208,006,1.0
minidata.txt:243,002,1.0
minidata.txt:278,004,1.0
minidata.txt:26,004,1.0
minidata.txt:61,001,1.0
minidata.txt:96,001,1.0
minidata.txt:131,000,1.0
minidata.txt:149,006,1.0
minidata.txt:184,005,1.0
minidata.txt:219,000,0.505073
minidata.txt:219,001,0.494927
minidata.txt:254,000,1.0
minidata.txt:289,002,1.0
minidata.txt:17,001,1.0
minidata.txt:52,008,1.0
minidata.txt:87,008,1.0
minidata.txt:122,001,1.0
minidata.txt:175,001,1.0
minidata.txt:210,000,1.0
minidata.txt:245,000,1.0
minidata.txt:280,004,1.0
minidata.txt:0,006,1.0
minidata.txt:35,001,1.0
minidata.txt:70,001,1.0
minidata.txt:105,001,1.0
minidata.txt:140,001,1.0
minidata.txt:158,002,1.0
minidata.txt:193,002,1.0
minidata.txt:228,002,1.0
minidata.txt:263,009,1.0
minidata.txt:298,000,0.446979
minidata.txt:298,006,0.264848
minidata.txt:298,001,0.136079
minidata.txt:298,002,0.124423
minidata.txt:298,009,0.027671
minidata.txt:30,008,1.0
minidata.txt:65,004,1.0
minidata.txt:100,009,1.0
minidata.txt:135,001,1.0
minidata.txt:153,004,1.0
minidata.txt:188,001,1.0
minidata.txt:223,004,1.0
minidata.txt:258,000,1.0
minidata.txt:293,000,1.0
minidata.txt:21,001,1.0
minidata.txt:56,004,1.0
minidata.txt:91,008,1.0
minidata.txt:126,001,1.0
minidata.txt:144,003,1.0
minidata.txt:179,004,1.0
minidata.txt:214,000,1.0
minidata.txt:249,000,1.0
minidata.txt:284,000,1.0
minidata.txt:25,003,1.0
minidata.txt:60,001,1.0
minidata.txt:95,001,1.0
minidata.txt:130,001,1.0
minidata.txt:148,006,1.0
minidata.txt:183,004,1.0
minidata.txt:218,001,1.0
minidata.txt:253,004,1.0
minidata.txt:288,002,1.0
minidata.txt:22,001,1.0
minidata.txt:57,000,1.0
minidata.txt:92,000,1.0
minidata.txt:127,001,1.0
minidata.txt:145,000,1.0
minidata.txt:180,007,1.0
minidata.txt:215,000,1.0
minidata.txt:250,004,1.0
minidata.txt:285,002,1.0
minidata.txt:28,005,1.0
minidata.txt:63,001,1.0
minidata.txt:98,001,1.0
minidata.txt:133,003,1.0
minidata.txt:151,000,1.0
minidata.txt:186,001,1.0
minidata.txt:221,006,1.0
minidata.txt:256,001,1.0
minidata.txt:291,000,1.0
minidata.txt:33,001,1.0
minidata.txt:68,001,1.0
minidata.txt:103,002,1.0
minidata.txt:138,004,1.0
minidata.txt:156,000,1.0
minidata.txt:191,002,1.0
minidata.txt:226,003,1.0
minidata.txt:261,000,1.0
minidata.txt:296,000,1.0
minidata.txt:29,002,1.0
minidata.txt:64,001,1.0
minidata.txt:99,001,1.0
minidata.txt:134,003,1.0
minidata.txt:152,000,1.0
minidata.txt:187,004,1.0
minidata.txt:222,004,1.0
minidata.txt:257,003,1.0
minidata.txt:292,001,1.0
minidata.txt:27,003,1.0
minidata.txt:62,007,1.0
minidata.txt:97,000,1.0
minidata.txt:132,003,1.0
minidata.txt:150,002,1.0
minidata.txt:185,000,0.409253
minidata.txt:185,001,0.317844
minidata.txt:185,002,0.272903
minidata.txt:220,001,1.0
minidata.txt:255,000,1.0
minidata.txt:290,000,1.0
minidata.txt:10,005,1.0
minidata.txt:45,001,1.0
minidata.txt:80,001,1.0
minidata.txt:115,001,1.0
minidata.txt:168,001,1.0
minidata.txt:203,002,1.0
minidata.txt:238,007,1.0
minidata.txt:273,000,1.0
minidata.txt:2,001,1.0
minidata.txt:37,008,1.0
minidata.txt:72,001,1.0
minidata.txt:107,006,1.0
minidata.txt:142,003,1.0
minidata.txt:160,008,1.0
minidata.txt:195,000,1.0
minidata.txt:230,002,1.0
minidata.txt:265,002,1.0
minidata.txt:6,008,1.0
minidata.txt:41,007,1.0
minidata.txt:76,001,1.0
minidata.txt:111,000,1.0
minidata.txt:164,007,1.0
minidata.txt:199,002,1.0
minidata.txt:234,002,1.0
minidata.txt:269,000,0.490667
minidata.txt:269,009,0.255569
minidata.txt:269,005,0.150289
minidata.txt:269,003,0.103474
minidata.txt:12,001,1.0
minidata.txt:47,007,1.0
minidata.txt:82,001,1.0
minidata.txt:117,006,1.0
minidata.txt:170,006,1.0
minidata.txt:205,001,1.0
minidata.txt:240,009,1.0
minidata.txt:275,000,1.0
minidata.txt:5,000,1.0
minidata.txt:40,005,1.0
minidata.txt:75,001,1.0
minidata.txt:110,000,1.0
minidata.txt:163,002,1.0
minidata.txt:198,007,1.0
minidata.txt:233,000,1.0
minidata.txt:268,009,1.0
minidata.txt:9,001,1.0
minidata.txt:44,004,1.0
minidata.txt:79,001,1.0
minidata.txt:114,000,1.0
minidata.txt:167,006,1.0
minidata.txt:202,003,1.0
minidata.txt:237,001,1.0
minidata.txt:272,000,1.0
minidata.txt:32,006,1.0
minidata.txt:67,001,0.795424
minidata.txt:67,006,0.11828
minidata.txt:67,000,0.086296
minidata.txt:102,006,1.0
minidata.txt:137,001,1.0
minidata.txt:155,006,1.0
minidata.txt:190,006,1.0
minidata.txt:225,006,1.0
minidata.txt:260,000,1.0
minidata.txt:295,000,1.0
minidata.txt:4,006,1.0
minidata.txt:39,006,1.0
minidata.txt:74,000,1.0
minidata.txt:109,004,1.0
minidata.txt:162,000,1.0
minidata.txt:197,009,1.0
minidata.txt:232,002,1.0
minidata.txt:267,001,1.0
minidata.txt:31,001,1.0
minidata.txt:66,001,1.0
minidata.txt:101,005,1.0
minidata.txt:136,001,1.0
minidata.txt:154,004,1.0
minidata.txt:189,006,1.0
minidata.txt:224,000,1.0
minidata.txt:259,000,1.0
minidata.txt:294,005,1.0
minidata.txt:3,000,1.0
minidata.txt:38,008,1.0
minidata.txt:73,000,1.0
minidata.txt:108,003,1.0
minidata.txt:161,007,1.0
minidata.txt:196,001,1.0
minidata.txt:231,002,1.0
minidata.txt:266,005,1.0
